GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Await,47,82,3,3,11,27,4,8,2,7
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.ContainerVolume,0,9,0,0,0,4,0,1,0,1
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.ContainerStatus,0,74,0,0,0,8,0,1,0,1
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker,25,606,0,14,3,77,2,35,2,28
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.ContainerImage,0,57,0,0,0,13,0,4,0,4
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Task,36,205,1,5,9,45,3,18,2,16
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.Container,5,19,3,1,0,6,2,2,0,2
k3s Maven Plugin,io.kokuwa.maven.k3s.util,DebugLog,89,32,9,1,25,13,17,5,12,5
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,ImageMojo,66,744,6,40,18,105,6,47,0,30
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,RemoveMojo,0,31,0,4,0,12,0,6,0,4
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,K3sMojo,0,64,0,8,0,12,0,12,0,8
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,RestartMojo,34,223,0,12,2,41,0,14,0,8
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,RunMojo,53,311,14,28,15,82,19,28,5,21
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,ApplyMojo,77,570,10,34,11,91,10,33,1,20
