GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.mdc,PathMdcFilter,0,140,0,12,0,29,0,9,0,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.mdc,AuthenticationMdcFilter,0,102,1,9,0,20,1,7,0,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.mdc,HeaderMdcFilter,0,67,0,2,0,12,0,5,0,4
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.level,LogLevelServerFilter,0,67,0,0,0,12,0,7,0,7
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.level,LogLevelTurboFilter,0,24,0,6,0,7,0,5,0,2
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.level,LogLevelClientFilter,53,0,0,0,10,0,5,0,5,0
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http,AbstractMdcFilter,0,65,0,4,0,13,0,9,0,7
Logging Support for Micronaut,io.kokuwa.micronaut.logging.configurator,RootAutoSelectAppenderAction,35,65,11,5,7,19,8,5,0,5
Logging Support for Micronaut,io.kokuwa.micronaut.logging.configurator,DefaultConfigurator,9,29,1,1,4,10,1,2,0,2
Logging Support for Micronaut,io.kokuwa.micronaut.logging.configurator,MicronautJoranConfigurator,0,16,0,0,0,4,0,2,0,2
Logging Support for Micronaut,io.kokuwa.micronaut.logging.layout,JsonLayout,251,46,30,0,69,15,36,2,21,2
Logging Support for Micronaut,io.kokuwa.micronaut.logging.layout,GcpJsonLayout,136,11,12,0,21,5,8,3,2,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging,LogbackUtil,0,61,0,0,0,13,0,5,0,5
Logging Support for Micronaut,io.kokuwa.micronaut.logging.mdc,MDCTurboFilterConfigurer,0,108,0,2,0,21,0,4,0,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging.mdc,MDCTurboFilter,2,115,2,16,1,24,2,14,0,7
